1¡¢ÄúµÄÐÔ±ð,2¡¢ÄúµÄ»î¶¯±àºÅ,"3¡¢ÄúÐÄÒâ¶ÔÏóµÄ»î¶¯±àºÅ£¨ÖÁ¶à¿ÉÑ¡Ôñ8Î»£¬°´ÐÄÒÇË³ÐòÒÀ´ÎÌîÈëÒÔÏÂ°Ë¸öÌî¿ÕÖÐ£©µÚÒ»Ë³Î»±àºÅ",4¡¢µÚ¶þË³Î»±àºÅ,5¡¢µÚÈýË³Î»±àºÅ,6¡¢µÚËÄË³Î»±àºÅ,7¡¢µÚÎåË³Î»±àºÅ,8¡¢µÚÁùË³Î»±àºÅ,9¡¢µÚÆßË³Î»±àºÅ,10¡¢µÚ°ËË³Î»±àºÅ
ÄÐ,140,202,151,296,111,1-62,285,215,132
ÄÐ,19,164,91,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),288
ÄÐ,190,20,170,148,182,58,134,5,132
ÄÐ,102,53,145,93,205,24,104,202,(¿Õ)
ÄÐ,160,260,274,138,226,172,248,126,285
Å®,189,125,247,102,2-38,265,1-22,140,139
Å®,181,221,247,255,1104,243,158,288,221
Å®,11,75,111,256,2105,123,129,223,138
ÄÐ,242,105,37,17,116,102,201,120,140
Å®,225,104,274,173,132,164,183,140,167
ÄÐ,5,32,186,55,42,197,109,194,114
ÄÐ,189,170,182,190,196,162,94,59,203
ÄÐ,260,1-42,205,17,102,164,205,17,102
Å®,102,164,194,158,149,176,5,24,153
Å®,101,214,103,1,69,164,194,148,58
ÄÐ,189,140,244,189,125,192,261,162,193
Å®,108,1104,1194,158,105,133,139,155,132
ÄÐ,1-62,186,1104,225,127,245,197,102,249
ÄÐ,128,190,5,128,37,55,207,25,153
Å®,20,194,205,74,107,44,5,11,17
Å®,194,103,285,280,106,202,288,297,186
ÄÐ,201,164,2-39,170,1-62,(¿Õ),(¿Õ),(¿Õ),(¿Õ)
ÄÐ,55,189,37,158,19,58,128,164,119
ÄÐ,189,151,100,119,83,158,94,122,55
Å®,164,32,32,101,120,8,11,189,203
ÄÐ,201,153,187,166,294,2100,1-22,1-43,201
Å®,164,37,164,173,64,260,1-80,286,135
Å®,2-39,138,245,129,8,178,105,247,90
Å®,1104,1105,172,277,255,111,202,192,90
ÄÐ,58,59,164,11,182,173,64,0,239
ÄÐ,20,58,164,194,111,(¿Õ),(¿Õ),(¿Õ),173
Å®,178,187,2-24,225,181,221,162,220,90
ÄÐ,1-62,173,103,247,151,241,186,279,(¿Õ)
Å®,221,222,51,58,129,103,132,282,296
Å®,220,166,194,111,173,186,180,260,144
ÄÐ,149,103,164,139,102,128,(¿Õ),(¿Õ),247
ÄÐ,265,1104,189,170,1-42,144,225,111,93
ÄÐ,104,261,2-38,1-80,140,189,202,265,(¿Õ)
Å®,201,170,148,122,141,53,24,70,198
ÄÐ,192,193,265,1102,189,140,129,258,(¿Õ)
ÄÐ,170,104,265,189,273,245,244,102,226
ÄÐ,1104,226,171,1-17,241,247,198,127,134
ÄÐ,5,193,90,68,56,186,153,148,103
Å®,114,140,102,37,164,98,93,200,(¿Õ)
ÄÐ,189,1-62,298,258,169,285,221,102,206
ÄÐ,18,153,150,1,57,187,42,84,137
Å®,129,164,108,104,189,203,285,187,175
ÄÐ,285,140,170,197,129,189,261,111,77
ÄÐ,129,117,266,142,225,298,104,254,75
ÄÐ,244,1102,102,105,214,245,125,144,106
Å®,33,77,74,68,114,8,126,129,(¿Õ)
ÄÐ,1-43,164,226,297,30,273,132,144,144
ÄÐ,33,1-42,238,129,235,277,247,17,55
ÄÐ,114,102,153,106,51,80,20,11,(¿Õ)
ÄÐ,128,1104,282,103,144,156,256,238,(¿Õ)
Å®,102,225,1104,247,202,129,164,56,273
ÄÐ,1-17,56,101,25,167,203,106,1104,111
ÄÐ,164,1104,245,162,125,187,189,103,134
ÄÐ,175,258,2104,169,265,1102,281,166,56
Å®,62,260,286,266,102,1-42,296,129,1104
ÄÐ,164,285,226,293,140,105,164,144,258
Å®,298,186,170,205,135,112,258,17,192
Å®,200,196,164,59,37,190,148,11,231
Å®,195,273,178,105,247,121,166,238,11
ÄÐ,18,258,293,150,238,225,166,56,118
ÄÐ,2-7,51,37,17,182,114,91,1104,267
Å®,150,129,111,202,192,1102,140,103,285
Å®,123,164,173,64,0,64,58,166,(¿Õ)
ÄÐ,129,245,129,8,186,5,55,293,249
ÄÐ,132,172,277,255,74,197,35,37,197
ÄÐ,35,164,11,182,129,140,189,37,140
Å®,162,164,194,111,244,220,125,1105,265
Å®,15,2-24,225,181,2-24,225,164,1104,164
Å®,167,103,247,151,51,58,293,254,247
ÄÐ,97,51,58,129,194,111,111,277,140
ÄÐ,109,194,111,173,194,116,1104,1104,201
ÄÐ,255,164,139,129,245,129,1-17,189,221
ÄÐ,189,84,1104,132,172,277,41,42,221
Å®,78,143,108,5,116,102,101,214,222
ÄÐ,120,1-9,91,277,260,119,2104,(¿Õ),(¿Õ)
Å®,219,93,298,141,70,111,252,1105,267
Å®,74,122,189,157,133,57,132,1104,1105
Å®,174,107,2100,173,82,190,136,254,263
ÄÐ,1-102,167,197,20,194,182,298,129,189
ÄÐ,1106,222,190,127,55,5,164,(¿Õ),(¿Õ)
Å®,98,160,143,285,190,293,125,277,103
Å®,57,147,129,2-66,2104,265,202,1104,104
Å®,1-13,106,144,193,261,2-38,244,189,140
ÄÐ,175,2103,164,58,55,75,51,193,(¿Õ)
ÄÐ,89,85,164,178,245,130,228,144,2104
ÄÐ,205,2-96,190,20,164,116,33,147,55
Å®,151,32,17,194,111,173,6,42,109
ÄÐ,27,32,17,194,111,173,6,42,109
ÄÐ,251,45,2105,214,106,226,102,125,245
Å®,144,164,11,102,2-24,225,11,14,286
ÄÐ,80,2102,196,77,51,58,51,58,135
ÄÐ,2-11,156,194,186,194,111,194,111,176
Å®,75,66,238,178,277,225,260,285,129
ÄÐ,49,187,189,220,258,241,265,1104,129
ÄÐ,101,64,129,1-17,101,1104,281,261,197
ÄÐ,198,288,173,128,5,164,55,31,106
ÄÐ,177,71,74,8,38,194,(¿Õ),(¿Õ),(¿Õ)
Å®,138,216,56,46,131,69,59,12,98
Å®,299,116,1104,260,189,244,297,195,15
ÄÐ,117,95,104,2-38,135,285,277,220,146
Å®,34,90,103,166,298,2-69,198,293,186
Å®,176,121,166,293,259,1-43,225,255,244
ÄÐ,100,153,178,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ)
Å®,206,69,105,2104,178,189,247,297,1104
Å®,183,2-37,164,11,102,8,127,193,20
Å®,102,1105,245,260,189,187,2104,1-62,20
ÄÐ,277,1104,189,265,186,186,144,189,2104
ÄÐ,273,254,189,265,186,298,281,245,226
Å®,208,277,140,189,192,268,244,198,194
Å®,120,1104,11,102,12,6,155,32,190
ÄÐ,247,189,260,220,1-62,1-43,1-22,140,132
ÄÐ,2101,42,102,129,104,33,153,55,6
ÄÐ,111,247,1105,127,281,203,37,74,35
ÄÐ,104,2101,225,268,2-38,105,104,2-38,106
Å®,150,1105,(¿Õ),(¿Õ),(¿Õ),262,279,158,2-24
ÄÐ,46,1104,137,129,189,176,58,186,45
ÄÐ,83,254,1-42,193,1104,103,265,228,195
Å®,198,277,127,1-42,189,20,75,55,167
ÄÐ,173,1104,296,281,42,189,261,1104,105
ÄÐ,274,189,153,124,147,70,153,205,162
ÄÐ,104,42,195,228,193,189,129,102,156
Å®,144,1105,68,58,148,176,173,69,164
Å®,294,1104,0,39,102,186,190,37,153
ÄÐ,173,254,164,102,25,222,281,2-69,221
Å®,192,277,32,189,164,(¿Õ),(¿Õ),(¿Õ),(¿Õ)
ÄÐ,91,1104,106,244,1-54,1-62,170,201,239
ÄÐ,24ºÅ,189,1102,129,111,173,6,42,125
ÄÐ,56,42,170,105,181,1-54,1-17,1-3,118
ÄÐ,225,20,20,20,(¿Õ),(¿Õ),(¿Õ),(¿Õ),35
Å®,92,226,194,262,151,296,111,1-62,268
ÄÐ,239,74,75,148,129,1105,102,221,126
Å®,231,137,164,173,64,173,1,13,75
Å®,60,170,245,129,8,197,194,0,225
Å®,129,107,172,277,255,244,261,189,199
Å®,205,114,164,11,182,128,164,139,102
ÄÐ,77,293,144,297,1-54,1-62,170,201,244
Å®,2104,149,164,194,111,173,6,42,58
Å®,111,1-62,2-24,225,181,1-54,1-17,1-3,(¿Õ)
ÄÐ,128,28,64,53,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ)
Å®,38,1104,103,247,151,296,111,1-62,288
Å®,148,102,51,58,129,1105,102,221,25
ÄÐ,272,116,164,58,64,173,1,13,143
ÄÐ,31,247,249,163,8,197,194,0,178
ÄÐ,31,247,249,163,255,244,261,189,178
ÄÐ,202,228,297,1-54,103,259,2-17,1-30,(¿Õ)
Å®,132,17,194,111,173,6,42,109,90
ÄÐ,132,17,194,111,173,6,42,109,90
Å®,262,25,164,139,102,110,83,128,197
Å®,126,49,17,111,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ)
Å®,188,226,134,123,194,111,2105,1105,170
Å®,164,139,102,25,103,259,2-17,1-30,173
ÄÐ,135,285,134,181,1-54,1-17,1-3,263,293
ÄÐ,58,2101,189,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ)
ÄÐ,51,140,202,151,296,111,1-62,285,215
Å®,154,295,1103,1105,277,262,251,258,247
ÄÐ,89,178,187,129,1105,102,221,162,220
Å®,89,178,187,129,1105,102,221,162,220
Å®,2105,74,110,167,25,164,83,102,66
ÄÐ,167,5,190,64,173,1,13,51,33
ÄÐ,138,128,102,8,197,194,0,25,55
Å®,20,102,25,37,137,164,91,145,192
ÄÐ,191,177,232,119,(¿Õ),(¿Õ),(¿Õ),(¿Õ),111
Å®,106,153,102,58,28,148,74,176,117
ÄÐ,22,148,186,147,117,143,173,144,286
Å®,201,190,55,77,20,58,194,121,186
ÄÐ,205,164,70,56,194,25,135,58,279
Å®,70,273,197,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ)
Å®,160,193,58,37,186,43,5,153,251
ÄÐ,273,119,59,20,(¿Õ),(¿Õ),(¿Õ),(¿Õ),221
ÄÐ,274,288,104,105,189,(¿Õ),(¿Õ),(¿Õ),83
ÄÐ,1-17,106,128,102,32,186,74,196,91
Å®,135,112,129,102,189,144,104,241,74
Å®,197,37,1104,189,1-17,285,144,225,194
Å®,70,273,244,197,298,231,1-17,(¿Õ),251
Å®,160,193,254,199,175,197,261,268,221
ÄÐ,273,119,298,93,260,220,1-62,1105,83
Å®,274,288,127,247,206,262,162,187,91
Å®,1-17,106,164,194,(¿Õ),(¿Õ),(¿Õ),(¿Õ),74
ÄÐ,186,61,1-62,247,102,104,127,265,194
ÄÐ,175,94,281,189,2-66,261,1104,1-17,1-17
Å®,187,102,207,273,164,222,255,2-24,102
Å®,115,170,176,1104,2104,286,260,140,194
ÄÐ,161,197,20,75,33,5,203,190,216
ÄÐ,119,184,277,119,143,238,134,265,296
Å®,105,58,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),36
ÄÐ,158,194,252,1105,1104,158,1-62,202,258
ÄÐ,93,12,102,5,(¿Õ),(¿Õ),(¿Õ),(¿Õ),267
Å®,293,260,268,286,170,134,245,1104,126
Å®,161,257,2-38,245,158,186,1104,202,156
Å®,268,144,1-22,261,189,265,140,186,(¿Õ)
ÄÐ,29,189,265,286,108,197,261,129,1-42
Å®,280,20,8,32,193,74,102,(¿Õ),(¿Õ)
ÄÐ,124,129,265,225,252,193,261,189,1102
Å®,267,55,196,116,0,33,153,190,5
Å®,245,164,173,64,190,35,37,20,55
ÄÐ,181,245,129,8,2104,267,180,199,232
Å®,100,172,277,255,170,187,58,126,51
Å®,201,164,11,182,87,195,43,47,69
Å®,2097,164,194,111,59,24,186,8,25
Å®,164,2-24,225,181,81,190,(¿Õ),(¿Õ),(¿Õ)
Å®,224,103,247,151,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ)
ÄÐ,103,51,58,129,2100,296,1104,154,152
ÄÐ,36,194,111,173,129,166,105,221,144
ÄÐ,177,164,139,102,265,244,189,245,220
ÄÐ,259,19,190,141,58,116,173,70,24
ÄÐ,137,164,83,205,5,58,128,205,153
ÄÐ,112,167,74,110,3,178,102,83,140
Å®,215,55,58,158,20,5,91,111,(¿Õ)
Å®,165,58,137,5,167,194,173,98,32
Å®,180,74,128,164,58,194,186,0,20
ÄÐ,137,254,247,1104,1-54,294,100,2105,297
ÄÐ,203,74,126,102,173,164,114,ÎÞ,ÎÞ
ÄÐ,11,1-42,140,202,125,284,161,245,132
ÄÐ,71,288,187,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ)
ÄÐ,105,216,220,298,262,105,213,226,1-48
ÄÐ,207,129,244,2104,140,160,261,189,102
ÄÐ,54,189,2-38,2-66,102,260,144,2101,132
Å®,13,162,101,102,261,189,225,226,1-17
ÄÐ,295,245,265,255,244,261,189,107,122
ÄÐ,254,144,193,261,238,104,189,20,(¿Õ)
ÄÐ,145,268,198,103,259,2-17,1-30,1105,298
Å®,3,140,189,144,111,265,202,203,297
Å®,140,162,173,120,285,125,241,(¿Õ),(¿Õ)
Å®,1103,132,2105,277,232,1-42,267,147,32
Å®,67,58,137,5,167,194,173,98,189
Å®,157,2105,247,1-24,193,104,129,1-62,189
Å®,286,216,189,1-62,273,255,152,70,40
ÄÐ,158,164,145,74,25,32,19,205,18
Å®,172,164,91,37,110,148,194,139,89
ÄÐ,146,285,192,254,279,129,108,187,45
ÄÐ,147,295,245,265,255,244,261,116,148
ÄÐ,1,254,144,193,261,238,104,2104,238
ÄÐ,125,5,194,58,33,0,38,249,191
ÄÐ,2100,11,75,77,74,68,114,153,74
ÄÐ,133,91,5,162,116,19,64,69,203
Å®,2-28,199,243,202,277,104,255,83,148
Å®,191,102,127,166,189,193,197,56,97
ÄÐ,190,70,164,64,19,167,106,273,255
ÄÐ,199,11,114,197,75,140,6,55,111
Å®,223,1104,2100,134,288,247,260,225,196
Å®,99,186,164,258,170,162,127,1104,189
ÄÐ,19,116,132,20,74,1,93,296,129
ÄÐ,264,1104,162,189,104,1102,129,74,(¿Õ)
Å®,211,1105,1104,220,2-39,293,260,24,70
Å®,169,149,194,164,141,186,70,164,20
Å®,131,35,170,42,94,102,17,103,58
Å®,232,164,176,75,55,127,157,(¿Õ),14
Å®,2052,91,0,193,190,6,122,12,94
ÄÐ,133,103,74,298,127,160,163,201,282
ÄÐ,227,5,77,190,121,69,58,55,20
Å®,202,37,251,112,116,182,164,140,147
Å®,134,201,221,122,190,153,116,158,23
Å®,174,198,83,2-69,100,265,2104,156,(¿Õ)
Å®,160,124,91,205,167,153,81,14,66
ÄÐ,253,102,74,190,6,19,43,17,25
Å®,156,260,194,273,119,102,129,160,143
Å®,128,106,160,193,172,244,105,140,255
ÄÐ,233,12,25,197,55,126,193,102,58
ÄÐ,149,1-42,167,151,1-62,245,125,167,265
Å®,230,5,273,119,164,(¿Õ),(¿Õ),(¿Õ),(¿Õ)
Å®,206,162,274,288,177,187,2105,138,165
Å®,194,1104,1-17,106,108,285,249,296,105
Å®,16,166,25,293,130,285,295,156,203
Å®,25,202,121,1104,226,142,170,129,105
Å®,276,128,228,176,17,194,83,93,196
ÄÐ,7,103,11,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ)
Å®,257,201,20,5,176,114,128,164,83
Å®,256,140,102,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ)
Å®,115,103,153,194,232,228,226,187,260
ÄÐ,170,1122,102,249,1194,1132,225,(¿Õ),(¿Õ)
Å®,203,197,244,285,225,244,189,245,297
Å®,195,164,(¿Õ),182,167,102,74,85,5
ÄÐ,282,190,187,58,5,20,170,148,134
ÄÐ,23,102,285,293,201,2104,143,266,244
Å®,2037,164,251,193,8,102,127,20,137
ÄÐ,265,51,221,58,74,91,121,164,193
Å®,193,193,83,189,1104,265,129,235,237
ÄÐ,218,186,91,114,194,201,74,140,32
ÄÐ,48,178,74,277,1-30,134,221,220,295
ÄÐ,178,224,194,165,142,223,248,277,199
ÄÐ,107,186,128,102,164,32,(¿Õ),(¿Õ),(¿Õ)
Å®,0,139,267,258,135,(¿Õ),(¿Õ),(¿Õ),(¿Õ)
ÄÐ,2-82,153,112,32,114,173,128,83,58
Å®,244,20,5,33,116,58,190,162,175
Å®,50,164,268,285,261,2100,1105,288,197
ÄÐ,14,102,258,281,296,109,251,289,241
Å®,140,125,1105,189,194,297,262,279,239
ÄÐ,214,194,124,148,181,117,70,6,197
Å®,223,58,0,102,189,101,12,225,129
Å®,290,102,245,1104,265,140,2-38,(¿Õ),298
ÄÐ,142,2105,2103,285,281,164,139,82,11
Å®,246,102,5,20,194,(¿Õ),(¿Õ),164,153
Å®,106,205,186,193,5,153,196,190,114
ÄÐ,249,134,103,143,260,166,1105,20,162
Å®,164,2104,298,1-43,221,247,201,117,170
ÄÐ,151,207,53,106,190,121,148,1190,33
ÄÐ,87,128,37,164,196,176,25,144,115
Å®,194,117,178,102,110,128,131,52,5
ÄÐ,235,128,186,5,83,58,42,37,102
Å®,10,190,111,119,55,102,6,225,46
Å®,127,1104,108,258,288,245,265,(¿Õ),164
ÄÐ,103,273,232,194,198,260,2£­66,14,170
ÄÐ,210,182,164,194,190,149,20,19,42
ÄÐ,289,196,70,173,148,58,158,0,37
Å®,139,102,70,1,61,87,126,100,267
Å®,73,137,150,190,205,46,37,249,186
Å®,268,140,244,261,189,197,216,(¿Õ),285
Å®,154,186,244,32,102,167,114,74,164
Å®,108,173,102,164,183,140,167,5,273
Å®,266,286,102,1105,130,226,192,162,274
Å®,162,102,265,244,189,255,197,1104,1-17
ÄÐ,153,164,(¿Õ),140,173,32,102,166,25
Å®,163,201,58,148,122,141,53,202,121
ÄÐ,121,117,2100,110,58,122,196,128,228
Å®,118,164,297,102,83,32,176,201,20
Å®,220,164,101,110,140,173,131,140,102
ÄÐ,28,149,140,78,13,16,190,108,
ÄÐ,2-34,164,(¿Õ),140,173,32,102,166,25
Å®,26,103,153,121,111,194,100,20,5
Å®,40,186,247,269,267,293,102,298,162
Å®,196,1-17,297,282,66,164,2-38,101,1104
ÄÐ,136,102,244,198,293,125,170,119,202
ÄÐ,116,122,111,(¿Õ),(¿Õ),(¿Õ),(¿Õ),(¿Õ),5
Å®,,,,,,,,,
Å®,,,,,,,,,
Å®,,,,,,,,,
Å®,,,,,,,,,